ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
1,Swahili,,-6.5,39,swah1253,swh
2,Iraqw,,-4,35.5,iraq1241,irk
3,Gawwada,,5.5,37.25,gaww1239,gwd
4,Hausa,,12,7,haus1257,hau
5,Kanuri,,12,13,cent2050,knc
6,Tarifiyt Berber,,34.5,-4,tari1263,rif
7,Seychelles Creole,,-4.75,55.5,sese1246,crs
8,Romanian,,46,25,roma1327,ron
9,Selice Romani,,48.091,17.9609,west2376,
10,Lower Sorbian,,51.75,14.3333,lowe1385,dsb
11,Old High German,,50.55,9.68333,oldh1241,
12,Dutch,,52.5,6,dutc1256,nld
13,English,,52,0,stan1293,eng
14,Kildin Saami,,67,37,kild1236,sjd
15,Bezhta,,42.0833,46.1667,bezh1248,kap
16,Archi,,42,46.8333,arch1244,aqc
17,Manange,,28,84.25,mana1288,nmm
18,Ket,,64,87,kett1243,ket
19,Sakha,,62,130,yaku1245,
20,Oroqen,,51.2829,126.111,oroq1238,orh
21,Japanese,,37,140,nucl1643,jpn
22,Mandarin Chinese,,34,110,mand1415,cmn
23,Thai,,16,101,thai1261,tha
24,Vietnamese,,10.5,106.5,viet1252,vie
25,White Hmong,,26,105,hmon1333,mww
26,Ceq Wong,,3.8807,102.456,chew1245,cwg
27,Indonesian,,0,106,indo1316,ind
28,Malagasy,,-20,47,plat1254,plt
29,Takia,,-4.66667,146,taki1248,tbc
30,Hawaiian,,19.5833,-155.5,hawa1245,haw
31,Gurindji,,-17.6667,130.667,guri1247,gue
32,Yaqui,,27.5,-110.25,yaqu1251,yaq
33,Zinacantán Tzotzil,,16.8333,-92.8333,tzot1264,tzz
34,Q'eqchi',,16,-89.8333,kekc1242,kek
35,Otomi,,20.1667,-98.8333,mezq1235,ote
36,Saramaccan,,4.5,-55.5,sara1340,srm
37,Imbabura Quechua,,0.333333,-78,imba1240,qvi
38,Kali'na,,5.5,-56,gali1262,car
39,Hup,,0.166667,-69.25,hupd1244,jup
40,Wichí,,-22.5,-62.5833,wich1264,mzh
41,Mapudungun,,-38,-72,mapu1245,arn
42,Bantu,,2,14,,
43,Afro-Asiatic,,24.667,30.5942,,
44,Ainu,,43,143,ainu1240,ain
45,Akkadian,,33.1,44.1,,
46,Alanian,,44.6333,41.9336,,
47,Albanian,,41,20,gheg1238,aln
48,Algonquian (Powhatan),,43.2567,-79.8691,,
49,Altaic,,49,72,,
50,Aluku,,2,-54,ndyu1242,djk
51,Amharic,,10,38,amha1245,amh
52,Egyptian,,29.9792,31.1344,,
53,Arabic,,25,42,stan1318,arb
54,Arabic (Moroccan),,34,-6,moro1292,ary
55,Arawakan (Haiti),,18.5393,-72.3364,,
56,Arawakan,,-2,-78,,
57,Armenian,,40.1586,44.4993,nucl1235,hye
58,Indo-Portuguese,,20.7147,70.977,indo1318,idb
59,Assyrian,,35,43,,
60,Austro-Asiatic,,23,98,,
61,Austronesian,,24,121,,
62,Avar,,42.5,46.5,avar1256,ava
63,Aymara,,-17,-69,sout2996,ayc
64,Azerbaijani,,40.5,48.5,sout2697,azb
65,Balinese,,-8.33333,115.25,bali1278,ban
66,Baltic,,55.9321,23.3142,,
67,Banda,,6.5,20.75,band1344,liy
68,Banjarese,,-3.3285,114.589,banj1239,bjn
69,Barbacoan,,1,-78,,
70,Bargam,,-4.88333,145.75,barg1252,mlp
